Day,Daily Total,Estimated Read,Unit of Measurement
04/20/2025,0.15,Yes,CCF
04/21/2025,2.84,No,CCF
04/22/2025,1.16,No,CCF
04/23/2025,0.92,No,CCF
04/24/2025,0.26,No,CCF
04/25/2025,0.3,No,CCF
04/26/2025,0.61,Yes,CCF
04/27/2025,0.61,Yes,CCF
04/28/2025,0.92,No,CCF
04/29/2025,0.2,Yes,CCF
04/30/2025,0.2,Yes,CCF
05/01/2025,1.36,No,CCF
05/02/2025,0.4,No,CCF
05/03/2025,1.2733,Yes,CCF
05/04/2025,1.2733,Yes,CCF
05/05/2025,1.2733,Yes,CCF
05/06/2025,0.58,No,CCF
05/07/2025,0.46,No,CCF
05/08/2025,1.4333,Yes,CCF
05/09/2025,1.4333,Yes,CCF
05/10/2025,1.4333,Yes,CCF
05/11/2025,0.86,No,CCF
05/12/2025,1.02,No,CCF
05/13/2025,0.4267,Yes,CCF
05/14/2025,0.4267,Yes,CCF
05/15/2025,0.4267,Yes,CCF
05/16/2025,0.31,Yes,CCF
05/17/2025,0.31,Yes,CCF
05/18/2025,1.1267,Yes,CCF
05/19/2025,1.1267,Yes,CCF
05/20/2025,1.1267,Yes,CCF
05/21/2025,2.02,No,CCF
05/22/2025,1.78,No,CCF
05/23/2025,1.57,Yes,CCF
05/24/2025,1.57,Yes,CCF
05/25/2025,1.44,No,CCF
05/26/2025,1.18,No,CCF
05/27/2025,0.5267,Yes,CCF
05/28/2025,0.5267,Yes,CCF
05/29/2025,0.5267,Yes,CCF
05/30/2025,0.4,No,CCF
05/31/2025,0.9,Yes,CCF
06/01/2025,0.9,Yes,CCF
06/02/2025,1.2,No,CCF
06/03/2025,0.28,No,CCF
06/04/2025,0.4533,Yes,CCF
06/05/2025,0.4533,Yes,CCF
06/06/2025,0.4533,Yes,CCF
06/07/2025,0.46,No,CCF
06/08/2025,0.58,No,CCF
06/09/2025,0.47,Yes,CCF
06/10/2025,0.47,Yes,CCF
06/11/2025,0.34,No,CCF
06/12/2025,0.58,No,CCF
06/13/2025,0.5,No,CCF
06/14/2025,0.6,No,CCF
06/15/2025,0.44,No,CCF
06/16/2025,0.44,Yes,CCF
06/17/2025,0.44,Yes,CCF
06/18/2025,0.5,Yes,CCF
06/19/2025,0.5,Yes,CCF
06/20/2025,0.3,Yes,CCF
06/21/2025,0.3,Yes,CCF
06/22/2025,0.4,Yes,CCF
06/23/2025,0.4,Yes,CCF
06/24/2025,0.4,Yes,CCF
06/25/2025,0.44,Yes,CCF
06/26/2025,0.44,Yes,CCF
06/27/2025,0.54,No,CCF
06/28/2025,0.34,No,CCF
06/29/2025,0.44,No,CCF
06/30/2025,0.48,No,CCF
07/01/2025,0.36,Yes,CCF
07/02/2025,0.36,Yes,CCF
07/03/2025,0.26,No,CCF
07/04/2025,0.12,No,CCF
07/05/2025,0.12,No,CCF
07/06/2025,0.16,No,CCF
07/07/2025,0.14,No,CCF
07/08/2025,0.12,No,CCF
07/09/2025,0.14,No,CCF
07/10/2025,0.21,Yes,CCF
07/11/2025,0.21,Yes,CCF
07/12/2025,0.48,No,CCF
07/13/2025,0.3,No,CCF
07/14/2025,0.02,No,CCF
07/15/2025,0.52,Yes,CCF
07/16/2025,0.52,Yes,CCF
07/17/2025,0.52,Yes,CCF
07/18/2025,0.3,No,CCF
07/19/2025,0.38,Yes,CCF
07/20/2025,0.38,Yes,CCF
07/21/2025,0.38,No,CCF
07/22/2025,0.4,No,CCF
07/23/2025,0.345,Yes,CCF
07/24/2025,0.345,Yes,CCF
07/25/2025,0.345,Yes,CCF
07/26/2025,0.345,Yes,CCF
07/27/2025,0.42,No,CCF
07/28/2025,0.45,Yes,CCF
07/29/2025,0.45,Yes,CCF
07/30/2025,0.36,No,CCF
07/31/2025,0.41,Yes,CCF
08/01/2025,0.41,Yes,CCF
08/02/2025,0.2,No,CCF
08/03/2025,0.44,No,CCF
08/04/2025,0.3133,Yes,CCF
08/05/2025,0.3133,Yes,CCF
08/06/2025,0.3133,Yes,CCF
08/07/2025,0.12,No,CCF
08/08/2025,0.28,No,CCF
08/09/2025,0.3467,Yes,CCF
08/10/2025,0.3467,Yes,CCF
08/11/2025,0.3467,Yes,CCF
08/12/2025,0.34,Yes,CCF
08/13/2025,0.34,Yes,CCF
08/14/2025,0.32,No,CCF
08/15/2025,0.4133,Yes,CCF
08/16/2025,0.4133,Yes,CCF
08/17/2025,0.4133,Yes,CCF
08/18/2025,0.52,No,CCF
08/19/2025,0.32,No,CCF
08/20/2025,0.39,Yes,CCF
08/21/2025,0.39,Yes,CCF
08/22/2025,0.45,Yes,CCF
08/23/2025,0.45,Yes,CCF
08/24/2025,0.4,No,CCF
08/25/2025,0.37,Yes,CCF
08/26/2025,0.37,Yes,CCF
08/27/2025,0.3867,Yes,CCF
08/28/2025,0.3867,Yes,CCF
08/29/2025,0.3867,Yes,CCF
08/30/2025,0.1667,Yes,CCF
08/31/2025,0.1667,Yes,CCF
09/01/2025,0.1667,Yes,CCF
09/02/2025,0.5,No,CCF
09/03/2025,0.48,No,CCF
09/04/2025,0.4,No,CCF
09/05/2025,0.47,Yes,CCF
09/06/2025,0.47,Yes,CCF
09/07/2025,0.58,Yes,CCF
09/08/2025,0.58,Yes,CCF
09/09/2025,0.58,No,CCF
09/10/2025,0.38,No,CCF
09/11/2025,0.32,Yes,CCF
09/12/2025,0.32,Yes,CCF
09/13/2025,0.5,No,CCF
09/14/2025,0.44,Yes,CCF
09/15/2025,0.44,Yes,CCF
09/16/2025,0.44,Yes,CCF
09/17/2025,0.52,No,CCF
09/18/2025,0.46,No,CCF
09/19/2025,0.44,Yes,CCF
09/20/2025,0.44,Yes,CCF
09/21/2025,0.47,Yes,CCF
09/22/2025,0.47,Yes,CCF
09/23/2025,0.3,No,CCF
09/24/2025,0.54,No,CCF
09/25/2025,0.26,Yes,CCF
09/26/2025,0.26,Yes,CCF
09/27/2025,0.14,No,CCF
09/28/2025,0.25,Yes,CCF
09/29/2025,0.25,Yes,CCF
09/30/2025,0.62,No,CCF
10/01/2025,0.5,No,CCF
10/02/2025,0.48,No,CCF
10/03/2025,0.36,No,CCF
10/04/2025,0.49,Yes,CCF
10/05/2025,0.49,Yes,CCF
10/06/2025,0.6267,Yes,CCF
10/07/2025,0.6267,Yes,CCF
10/08/2025,0.6267,Yes,CCF
10/09/2025,0.7,No,CCF
10/10/2025,0.8933,Yes,CCF
10/11/2025,0.8933,Yes,CCF
10/12/2025,0.8933,Yes,CCF
10/13/2025,0.64,No,CCF
10/14/2025,0.49,Yes,CCF
10/15/2025,0.49,Yes,CCF
10/16/2025,0.94,No,CCF
10/17/2025,1.14,No,CCF
10/18/2025,0.66,No,CCF
10/19/2025,1.2286,Yes,CCF
10/20/2025,1.2286,Yes,CCF
10/21/2025,1.2286,Yes,CCF
10/22/2025,1.2286,Yes,CCF
10/23/2025,1.2286,Yes,CCF
10/24/2025,1.2286,Yes,CCF
10/25/2025,1.2286,Yes,CCF
10/26/2025,1.66,No,CCF
10/27/2025,1.38,Yes,CCF
10/28/2025,1.38,Yes,CCF
10/29/2025,1.38,Yes,CCF
10/30/2025,1.38,Yes,CCF
10/31/2025,1.38,Yes,CCF
11/01/2025,1.588,Yes,CCF
11/02/2025,1.588,Yes,CCF
11/03/2025,1.588,Yes,CCF
11/04/2025,1.588,Yes,CCF
11/05/2025,1.588,Yes,CCF
11/06/2025,2.46,No,CCF
11/07/2025,1.42,No,CCF
11/08/2025,2.44,No,CCF
11/09/2025,5.12,No,CCF
11/10/2025,6.0,No,CCF
11/11/2025,6.1,No,CCF
11/12/2025,2.82,Yes,CCF
11/13/2025,2.82,Yes,CCF
11/14/2025,2.26,No,CCF
11/15/2025,2.3667,Yes,CCF
11/16/2025,2.3667,Yes,CCF
11/17/2025,2.3667,Yes,CCF
11/18/2025,3.75,Yes,CCF
11/19/2025,3.75,Yes,CCF
11/20/2025,2.88,No,CCF
11/21/2025,1.4,No,CCF
11/22/2025,2.92,No,CCF
11/23/2025,2.02,No,CCF
11/24/2025,3.42,No,CCF
11/25/2025,1.46,No,CCF
11/26/2025,3.06,No,CCF
11/27/2025,5.34,No,CCF
11/28/2025,6.02,No,CCF
11/29/2025,6.02,No,CCF
11/30/2025,5.72,No,CCF
12/01/2025,6.64,No,CCF
12/02/2025,6.08,No,CCF
12/03/2025,7.04,No,CCF
12/04/2025,7.28,No,CCF
12/05/2025,7.044,Yes,CCF
12/06/2025,7.044,Yes,CCF
12/07/2025,7.044,Yes,CCF
12/08/2025,7.044,Yes,CCF
12/09/2025,7.044,Yes,CCF
12/10/2025,4.92,No,CCF
12/11/2025,6.78,No,CCF
12/12/2025,6.42,No,CCF
12/13/2025,8.39,Yes,CCF
12/14/2025,8.39,Yes,CCF
12/15/2025,8.46,No,CCF
12/16/2025,6.86,No,CCF
12/17/2025,4.66,No,CCF
12/18/2025,5.4467,Yes,CCF
12/19/2025,5.4467,Yes,CCF
12/20/2025,5.4467,Yes,CCF
12/21/2025,7.12,No,CCF
12/22/2025,5.04,No,CCF
12/23/2025,1.68,No,CCF
12/24/2025,3.76,No,CCF
12/25/2025,3.32,No,CCF
12/26/2025,5.66,No,CCF
12/27/2025,4.88,Yes,CCF
12/28/2025,4.88,Yes,CCF
12/29/2025,6.24,No,CCF
12/30/2025,7.94,Yes,CCF
12/31/2025,7.94,Yes,CCF
