Day,Hour of Day,Hourly Total,Daily Total,Unit of Measurement
11/20/2024,12:00 PM,1.056,26.781,kWh
11/20/2024,1:00 PM,1.098,26.781,kWh
11/20/2024,2:00 PM,1.816,26.781,kWh
11/20/2024,3:00 PM,2.204,26.781,kWh
11/20/2024,4:00 PM,1.273,26.781,kWh
11/20/2024,5:00 PM,2.237,26.781,kWh
11/20/2024,6:00 PM,2.501,26.781,kWh
11/20/2024,7:00 PM,1.158,26.781,kWh
11/20/2024,8:00 PM,0.827,26.781,kWh
11/20/2024,9:00 PM,0.755,26.781,kWh
11/20/2024,10:00 PM,0.789,26.781,kWh
11/20/2024,11:00 PM,0.782,26.781,kWh
11/21/2024,12:00 AM,0.732,23.616,kWh
11/21/2024,1:00 AM,0.825,23.616,kWh
11/21/2024,2:00 AM,0.936,23.616,kWh
11/21/2024,3:00 AM,0.892,23.616,kWh
11/21/2024,4:00 AM,1.004,23.616,kWh
11/21/2024,5:00 AM,0.876,23.616,kWh
11/21/2024,6:00 AM,0.983,23.616,kWh
11/21/2024,7:00 AM,0.939,23.616,kWh
11/21/2024,8:00 AM,0.996,23.616,kWh
11/21/2024,9:00 AM,1.854,23.616,kWh
11/21/2024,10:00 AM,0.878,23.616,kWh
11/21/2024,11:00 AM,0.843,23.616,kWh
11/21/2024,12:00 PM,0.839,23.616,kWh
11/21/2024,1:00 PM,0.769,23.616,kWh
11/21/2024,2:00 PM,0.831,23.616,kWh
11/21/2024,3:00 PM,1.053,23.616,kWh
11/21/2024,4:00 PM,1.532,23.616,kWh
11/21/2024,5:00 PM,1.167,23.616,kWh
11/21/2024,6:00 PM,0.893,23.616,kWh
11/21/2024,7:00 PM,1.114,23.616,kWh
11/21/2024,8:00 PM,1.012,23.616,kWh
11/21/2024,9:00 PM,0.873,23.616,kWh
11/21/2024,10:00 PM,0.842,23.616,kWh
11/21/2024,11:00 PM,0.933,23.616,kWh
11/22/2024,12:00 AM,0.867,20.534,kWh
11/22/2024,1:00 AM,0.875,20.534,kWh
11/22/2024,2:00 AM,0.945,20.534,kWh
11/22/2024,3:00 AM,0.993,20.534,kWh
11/22/2024,4:00 AM,0.86,20.534,kWh
11/22/2024,5:00 AM,0.848,20.534,kWh
11/22/2024,6:00 AM,1.028,20.534,kWh
11/22/2024,7:00 AM,0.92,20.534,kWh
11/22/2024,8:00 AM,0.796,20.534,kWh
11/22/2024,9:00 AM,0.825,20.534,kWh
11/22/2024,10:00 AM,0.748,20.534,kWh
11/22/2024,11:00 AM,0.744,20.534,kWh
11/22/2024,12:00 PM,0.734,20.534,kWh
11/22/2024,1:00 PM,0.573,20.534,kWh
11/22/2024,2:00 PM,0.761,20.534,kWh
11/22/2024,3:00 PM,0.654,20.534,kWh
11/22/2024,4:00 PM,0.723,20.534,kWh
11/22/2024,5:00 PM,0.737,20.534,kWh
11/22/2024,6:00 PM,1.316,20.534,kWh
11/22/2024,7:00 PM,1.793,20.534,kWh
11/22/2024,8:00 PM,0.757,20.534,kWh
11/22/2024,9:00 PM,0.706,20.534,kWh
11/22/2024,10:00 PM,0.688,20.534,kWh
11/22/2024,11:00 PM,0.643,20.534,kWh
11/23/2024,12:00 AM,0.693,21.244,kWh
11/23/2024,1:00 AM,0.748,21.244,kWh
11/23/2024,2:00 AM,0.66,21.244,kWh
11/23/2024,3:00 AM,0.808,21.244,kWh
11/23/2024,4:00 AM,0.747,21.244,kWh
11/23/2024,5:00 AM,0.653,21.244,kWh
11/23/2024,6:00 AM,0.769,21.244,kWh
11/23/2024,7:00 AM,0.718,21.244,kWh
11/23/2024,8:00 AM,0.873,21.244,kWh
11/23/2024,9:00 AM,0.96,21.244,kWh
11/23/2024,10:00 AM,1.461,21.244,kWh
11/23/2024,11:00 AM,0.788,21.244,kWh
11/23/2024,12:00 PM,0.636,21.244,kWh
11/23/2024,1:00 PM,0.715,21.244,kWh
11/23/2024,2:00 PM,0.606,21.244,kWh
11/23/2024,3:00 PM,0.802,21.244,kWh
11/23/2024,4:00 PM,0.717,21.244,kWh
11/23/2024,5:00 PM,2.373,21.244,kWh
11/23/2024,6:00 PM,2.18,21.244,kWh
11/23/2024,7:00 PM,0.677,21.244,kWh
11/23/2024,8:00 PM,0.672,21.244,kWh
11/23/2024,9:00 PM,0.662,21.244,kWh
11/23/2024,10:00 PM,0.765,21.244,kWh
11/23/2024,11:00 PM,0.561,21.244,kWh
11/24/2024,12:00 AM,0.682,22.433,kWh
11/24/2024,1:00 AM,0.681,22.433,kWh
11/24/2024,2:00 AM,0.736,22.433,kWh
11/24/2024,3:00 AM,0.697,22.433,kWh
11/24/2024,4:00 AM,0.694,22.433,kWh
11/24/2024,5:00 AM,0.617,22.433,kWh
11/24/2024,6:00 AM,0.828,22.433,kWh
11/24/2024,7:00 AM,0.669,22.433,kWh
11/24/2024,8:00 AM,0.92,22.433,kWh
11/24/2024,9:00 AM,0.672,22.433,kWh
11/24/2024,10:00 AM,1.433,22.433,kWh
11/24/2024,11:00 AM,1.203,22.433,kWh
11/24/2024,12:00 PM,0.635,22.433,kWh
11/24/2024,1:00 PM,0.876,22.433,kWh
11/24/2024,2:00 PM,1.501,22.433,kWh
11/24/2024,3:00 PM,1.106,22.433,kWh
11/24/2024,4:00 PM,0.854,22.433,kWh
11/24/2024,5:00 PM,1.43,22.433,kWh
11/24/2024,6:00 PM,0.691,22.433,kWh
11/24/2024,7:00 PM,2.634,22.433,kWh
11/24/2024,8:00 PM,0.719,22.433,kWh
11/24/2024,9:00 PM,0.739,22.433,kWh
11/24/2024,10:00 PM,0.713,22.433,kWh
11/24/2024,11:00 PM,0.703,22.433,kWh
11/25/2024,12:00 AM,0.691,18.968,kWh
11/25/2024,1:00 AM,0.758,18.968,kWh
11/25/2024,2:00 AM,0.793,18.968,kWh
11/25/2024,3:00 AM,0.701,18.968,kWh
11/25/2024,4:00 AM,0.673,18.968,kWh
11/25/2024,5:00 AM,0.716,18.968,kWh
11/25/2024,6:00 AM,0.806,18.968,kWh
11/25/2024,7:00 AM,0.916,18.968,kWh
11/25/2024,8:00 AM,0.861,18.968,kWh
11/25/2024,9:00 AM,0.733,18.968,kWh
11/25/2024,10:00 AM,0.528,18.968,kWh
11/25/2024,11:00 AM,0.619,18.968,kWh
11/25/2024,12:00 PM,1.483,18.968,kWh
11/25/2024,1:00 PM,0.824,18.968,kWh
11/25/2024,2:00 PM,0.596,18.968,kWh
11/25/2024,3:00 PM,0.78,18.968,kWh
11/25/2024,4:00 PM,0.669,18.968,kWh
11/25/2024,5:00 PM,0.983,18.968,kWh
11/25/2024,6:00 PM,0.704,18.968,kWh
11/25/2024,7:00 PM,0.715,18.968,kWh
11/25/2024,8:00 PM,0.657,18.968,kWh
11/25/2024,9:00 PM,1.372,18.968,kWh
11/25/2024,10:00 PM,0.711,18.968,kWh
11/25/2024,11:00 PM,0.679,18.968,kWh
11/26/2024,12:00 AM,0.549,19.22,kWh
11/26/2024,1:00 AM,0.75,19.22,kWh
11/26/2024,2:00 AM,0.69,19.22,kWh
11/26/2024,3:00 AM,0.543,19.22,kWh
11/26/2024,4:00 AM,0.725,19.22,kWh
11/26/2024,5:00 AM,0.699,19.22,kWh
11/26/2024,6:00 AM,0.745,19.22,kWh
11/26/2024,7:00 AM,0.956,19.22,kWh
11/26/2024,8:00 AM,0.692,19.22,kWh
11/26/2024,9:00 AM,0.885,19.22,kWh
11/26/2024,10:00 AM,0.77,19.22,kWh
11/26/2024,11:00 AM,0.654,19.22,kWh
11/26/2024,12:00 PM,0.795,19.22,kWh
11/26/2024,1:00 PM,0.631,19.22,kWh
11/26/2024,2:00 PM,0.747,19.22,kWh
11/26/2024,3:00 PM,0.731,19.22,kWh
11/26/2024,4:00 PM,0.812,19.22,kWh
11/26/2024,5:00 PM,1.099,19.22,kWh
11/26/2024,6:00 PM,1.117,19.22,kWh
11/26/2024,7:00 PM,0.897,19.22,kWh
11/26/2024,8:00 PM,0.97,19.22,kWh
11/26/2024,9:00 PM,0.875,19.22,kWh
11/26/2024,10:00 PM,0.968,19.22,kWh
11/26/2024,11:00 PM,0.92,19.22,kWh
11/27/2024,12:00 AM,1.072,21.728,kWh
11/27/2024,1:00 AM,0.947,21.728,kWh
11/27/2024,2:00 AM,0.864,21.728,kWh
11/27/2024,3:00 AM,0.941,21.728,kWh
11/27/2024,4:00 AM,0.969,21.728,kWh
11/27/2024,5:00 AM,0.989,21.728,kWh
11/27/2024,6:00 AM,0.945,21.728,kWh
11/27/2024,7:00 AM,0.935,21.728,kWh
11/27/2024,8:00 AM,0.997,21.728,kWh
11/27/2024,9:00 AM,0.923,21.728,kWh
11/27/2024,10:00 AM,0.783,21.728,kWh
11/27/2024,11:00 AM,1.16,21.728,kWh
11/27/2024,12:00 PM,0.755,21.728,kWh
11/27/2024,1:00 PM,0.9,21.728,kWh
11/27/2024,2:00 PM,0.796,21.728,kWh
11/27/2024,3:00 PM,0.562,21.728,kWh
11/27/2024,4:00 PM,0.75,21.728,kWh
11/27/2024,5:00 PM,0.832,21.728,kWh
11/27/2024,6:00 PM,1.137,21.728,kWh
11/27/2024,7:00 PM,1.542,21.728,kWh
11/27/2024,8:00 PM,0.8,21.728,kWh
11/27/2024,9:00 PM,0.796,21.728,kWh
11/27/2024,10:00 PM,0.648,21.728,kWh
11/27/2024,11:00 PM,0.685,21.728,kWh
11/28/2024,12:00 AM,0.777,26.154,kWh
11/28/2024,1:00 AM,0.802,26.154,kWh
11/28/2024,2:00 AM,0.811,26.154,kWh
11/28/2024,3:00 AM,0.847,26.154,kWh
11/28/2024,4:00 AM,0.885,26.154,kWh
11/28/2024,5:00 AM,0.896,26.154,kWh
11/28/2024,6:00 AM,0.848,26.154,kWh
11/28/2024,7:00 AM,1.446,26.154,kWh
11/28/2024,8:00 AM,2.475,26.154,kWh
11/28/2024,9:00 AM,1.789,26.154,kWh
11/28/2024,10:00 AM,1.224,26.154,kWh
11/28/2024,11:00 AM,1.575,26.154,kWh
11/28/2024,12:00 PM,1.622,26.154,kWh
11/28/2024,1:00 PM,1.044,26.154,kWh
11/28/2024,2:00 PM,0.838,26.154,kWh
11/28/2024,3:00 PM,0.811,26.154,kWh
11/28/2024,4:00 PM,0.88,26.154,kWh
11/28/2024,5:00 PM,0.932,26.154,kWh
11/28/2024,6:00 PM,0.946,26.154,kWh
11/28/2024,7:00 PM,1.066,26.154,kWh
11/28/2024,8:00 PM,0.919,26.154,kWh
11/28/2024,9:00 PM,0.887,26.154,kWh
11/28/2024,10:00 PM,0.927,26.154,kWh
11/28/2024,11:00 PM,0.907,26.154,kWh
11/29/2024,12:00 AM,0.918,28.478,kWh
11/29/2024,1:00 AM,0.962,28.478,kWh
11/29/2024,2:00 AM,0.98,28.478,kWh
11/29/2024,3:00 AM,1.063,28.478,kWh
11/29/2024,4:00 AM,0.921,28.478,kWh
11/29/2024,5:00 AM,1.006,28.478,kWh
11/29/2024,6:00 AM,1.048,28.478,kWh
11/29/2024,7:00 AM,0.998,28.478,kWh
11/29/2024,8:00 AM,1.291,28.478,kWh
11/29/2024,9:00 AM,1.117,28.478,kWh
11/29/2024,10:00 AM,1.079,28.478,kWh
11/29/2024,11:00 AM,1.092,28.478,kWh
11/29/2024,12:00 PM,1.009,28.478,kWh
11/29/2024,1:00 PM,0.958,28.478,kWh
11/29/2024,2:00 PM,0.996,28.478,kWh
11/29/2024,3:00 PM,1.093,28.478,kWh
11/29/2024,4:00 PM,1.041,28.478,kWh
11/29/2024,5:00 PM,1.547,28.478,kWh
11/29/2024,6:00 PM,1.449,28.478,kWh
11/29/2024,7:00 PM,2.895,28.478,kWh
11/29/2024,8:00 PM,1.268,28.478,kWh
11/29/2024,9:00 PM,1.268,28.478,kWh
11/29/2024,10:00 PM,1.209,28.478,kWh
11/29/2024,11:00 PM,1.27,28.478,kWh
11/30/2024,12:00 AM,1.188,33.246,kWh
11/30/2024,1:00 AM,1.268,33.246,kWh
11/30/2024,2:00 AM,1.198,33.246,kWh
11/30/2024,3:00 AM,1.256,33.246,kWh
11/30/2024,4:00 AM,1.308,33.246,kWh
11/30/2024,5:00 AM,1.16,33.246,kWh
11/30/2024,6:00 AM,1.33,33.246,kWh
11/30/2024,7:00 AM,1.273,33.246,kWh
11/30/2024,8:00 AM,1.149,33.246,kWh
11/30/2024,9:00 AM,1.457,33.246,kWh
11/30/2024,10:00 AM,1.178,33.246,kWh
11/30/2024,11:00 AM,1.089,33.246,kWh
11/30/2024,12:00 PM,1.177,33.246,kWh
11/30/2024,1:00 PM,1.161,33.246,kWh
11/30/2024,2:00 PM,1.257,33.246,kWh
11/30/2024,3:00 PM,1.102,33.246,kWh
11/30/2024,4:00 PM,1.276,33.246,kWh
11/30/2024,5:00 PM,2.245,33.246,kWh
11/30/2024,6:00 PM,1.953,33.246,kWh
11/30/2024,7:00 PM,1.466,33.246,kWh
11/30/2024,8:00 PM,2.994,33.246,kWh
11/30/2024,9:00 PM,1.316,33.246,kWh
11/30/2024,10:00 PM,1.303,33.246,kWh
11/30/2024,11:00 PM,1.142,33.246,kWh
12/01/2024,12:00 AM,1.357,35.657,kWh
12/01/2024,1:00 AM,1.083,35.657,kWh
12/01/2024,2:00 AM,1.346,35.657,kWh
12/01/2024,3:00 AM,1.192,35.657,kWh
12/01/2024,4:00 AM,1.299,35.657,kWh
12/01/2024,5:00 AM,1.234,35.657,kWh
12/01/2024,6:00 AM,1.234,35.657,kWh
12/01/2024,7:00 AM,1.278,35.657,kWh
12/01/2024,8:00 AM,1.409,35.657,kWh
12/01/2024,9:00 AM,1.189,35.657,kWh
12/01/2024,10:00 AM,1.685,35.657,kWh
12/01/2024,11:00 AM,3.164,35.657,kWh
12/01/2024,12:00 PM,1.117,35.657,kWh
12/01/2024,1:00 PM,1.268,35.657,kWh
12/01/2024,2:00 PM,1.264,35.657,kWh
12/01/2024,3:00 PM,1.212,35.657,kWh
12/01/2024,4:00 PM,1.231,35.657,kWh
12/01/2024,5:00 PM,2.241,35.657,kWh
12/01/2024,6:00 PM,2.043,35.657,kWh
12/01/2024,7:00 PM,2.883,35.657,kWh
12/01/2024,8:00 PM,1.206,35.657,kWh
12/01/2024,9:00 PM,1.302,35.657,kWh
12/01/2024,10:00 PM,1.225,35.657,kWh
12/01/2024,11:00 PM,1.195,35.657,kWh
12/02/2024,12:00 AM,1.378,29.081,kWh
12/02/2024,1:00 AM,1.251,29.081,kWh
12/02/2024,2:00 AM,1.3,29.081,kWh
12/02/2024,3:00 AM,1.318,29.081,kWh
12/02/2024,4:00 AM,1.173,29.081,kWh
12/02/2024,5:00 AM,1.341,29.081,kWh
12/02/2024,6:00 AM,1.197,29.081,kWh
12/02/2024,7:00 AM,1.228,29.081,kWh
12/02/2024,8:00 AM,1.083,29.081,kWh
12/02/2024,9:00 AM,1.223,29.081,kWh
12/02/2024,10:00 AM,1.451,29.081,kWh
12/02/2024,11:00 AM,1.138,29.081,kWh
12/02/2024,12:00 PM,1.129,29.081,kWh
12/02/2024,1:00 PM,1.189,29.081,kWh
12/02/2024,2:00 PM,1.037,29.081,kWh
12/02/2024,3:00 PM,1.026,29.081,kWh
12/02/2024,4:00 PM,1.127,29.081,kWh
12/02/2024,5:00 PM,1.125,29.081,kWh
12/02/2024,6:00 PM,1.8,29.081,kWh
12/02/2024,7:00 PM,1.292,29.081,kWh
12/02/2024,8:00 PM,1.129,29.081,kWh
12/02/2024,9:00 PM,1.083,29.081,kWh
12/02/2024,10:00 PM,1.017,29.081,kWh
12/02/2024,11:00 PM,1.046,29.081,kWh
12/03/2024,12:00 AM,1.345,28.551,kWh
12/03/2024,1:00 AM,1.184,28.551,kWh
12/03/2024,2:00 AM,1.302,28.551,kWh
12/03/2024,3:00 AM,1.285,28.551,kWh
12/03/2024,4:00 AM,1.298,28.551,kWh
12/03/2024,5:00 AM,1.058,28.551,kWh
12/03/2024,6:00 AM,1.108,28.551,kWh
12/03/2024,7:00 AM,1.193,28.551,kWh
12/03/2024,8:00 AM,1.325,28.551,kWh
12/03/2024,9:00 AM,1.162,28.551,kWh
12/03/2024,10:00 AM,1.171,28.551,kWh
12/03/2024,11:00 AM,1.071,28.551,kWh
12/03/2024,12:00 PM,1.05,28.551,kWh
12/03/2024,1:00 PM,1.077,28.551,kWh
12/03/2024,2:00 PM,0.974,28.551,kWh
12/03/2024,3:00 PM,0.97,28.551,kWh
12/03/2024,4:00 PM,0.99,28.551,kWh
12/03/2024,5:00 PM,2.566,28.551,kWh
12/03/2024,6:00 PM,1.116,28.551,kWh
12/03/2024,7:00 PM,1.017,28.551,kWh
12/03/2024,8:00 PM,1.189,28.551,kWh
12/03/2024,9:00 PM,0.966,28.551,kWh
12/03/2024,10:00 PM,1.002,28.551,kWh
12/03/2024,11:00 PM,1.132,28.551,kWh
12/04/2024,12:00 AM,0.933,30.198,kWh
12/04/2024,1:00 AM,1.259,30.198,kWh
12/04/2024,2:00 AM,1.286,30.198,kWh
12/04/2024,3:00 AM,1.283,30.198,kWh
12/04/2024,4:00 AM,1.184,30.198,kWh
12/04/2024,5:00 AM,1.329,30.198,kWh
12/04/2024,6:00 AM,1.809,30.198,kWh
12/04/2024,7:00 AM,2.486,30.198,kWh
12/04/2024,8:00 AM,1.431,30.198,kWh
12/04/2024,9:00 AM,1.207,30.198,kWh
12/04/2024,10:00 AM,1.295,30.198,kWh
12/04/2024,11:00 AM,1.136,30.198,kWh
12/04/2024,12:00 PM,1.326,30.198,kWh
12/04/2024,1:00 PM,1.264,30.198,kWh
12/04/2024,2:00 PM,0.963,30.198,kWh
12/04/2024,3:00 PM,1.262,30.198,kWh
12/04/2024,4:00 PM,0.977,30.198,kWh
12/04/2024,5:00 PM,1.02,30.198,kWh
12/04/2024,6:00 PM,1.549,30.198,kWh
12/04/2024,7:00 PM,1.096,30.198,kWh
12/04/2024,8:00 PM,1.045,30.198,kWh
12/04/2024,9:00 PM,0.976,30.198,kWh
12/04/2024,10:00 PM,0.911,30.198,kWh
12/04/2024,11:00 PM,1.171,30.198,kWh
12/05/2024,12:00 AM,1.035,34.062,kWh
12/05/2024,1:00 AM,1.139,34.062,kWh
12/05/2024,2:00 AM,1.315,34.062,kWh
12/05/2024,3:00 AM,1.291,34.062,kWh
12/05/2024,4:00 AM,1.279,34.062,kWh
12/05/2024,5:00 AM,1.477,34.062,kWh
12/05/2024,6:00 AM,1.342,34.062,kWh
12/05/2024,7:00 AM,1.597,34.062,kWh
12/05/2024,8:00 AM,1.433,34.062,kWh
12/05/2024,9:00 AM,1.417,34.062,kWh
12/05/2024,10:00 AM,1.393,34.062,kWh
12/05/2024,11:00 AM,1.265,34.062,kWh
12/05/2024,12:00 PM,1.439,34.062,kWh
12/05/2024,1:00 PM,3.078,34.062,kWh
12/05/2024,2:00 PM,1.326,34.062,kWh
12/05/2024,3:00 PM,1.204,34.062,kWh
12/05/2024,4:00 PM,1.312,34.062,kWh
12/05/2024,5:00 PM,1.239,34.062,kWh
12/05/2024,6:00 PM,1.273,34.062,kWh
12/05/2024,7:00 PM,1.173,34.062,kWh
12/05/2024,8:00 PM,1.554,34.062,kWh
12/05/2024,9:00 PM,1.997,34.062,kWh
12/05/2024,10:00 PM,1.092,34.062,kWh
12/05/2024,11:00 PM,1.392,34.062,kWh
12/06/2024,12:00 AM,1.362,37.381,kWh
12/06/2024,1:00 AM,1.377,37.381,kWh
12/06/2024,2:00 AM,1.307,37.381,kWh
12/06/2024,3:00 AM,1.386,37.381,kWh
12/06/2024,4:00 AM,1.398,37.381,kWh
12/06/2024,5:00 AM,1.341,37.381,kWh
12/06/2024,6:00 AM,1.398,37.381,kWh
12/06/2024,7:00 AM,1.379,37.381,kWh
12/06/2024,8:00 AM,1.412,37.381,kWh
12/06/2024,9:00 AM,1.155,37.381,kWh
12/06/2024,10:00 AM,1.735,37.381,kWh
12/06/2024,11:00 AM,1.866,37.381,kWh
12/06/2024,12:00 PM,2.068,37.381,kWh
12/06/2024,1:00 PM,1.749,37.381,kWh
12/06/2024,2:00 PM,1.785,37.381,kWh
12/06/2024,3:00 PM,1.709,37.381,kWh
12/06/2024,4:00 PM,1.651,37.381,kWh
12/06/2024,5:00 PM,1.628,37.381,kWh
12/06/2024,6:00 PM,1.569,37.381,kWh
12/06/2024,7:00 PM,1.424,37.381,kWh
12/06/2024,8:00 PM,1.545,37.381,kWh
12/06/2024,9:00 PM,1.69,37.381,kWh
12/06/2024,10:00 PM,2.076,37.381,kWh
12/06/2024,11:00 PM,1.371,37.381,kWh
12/07/2024,12:00 AM,1.455,40.212,kWh
12/07/2024,1:00 AM,1.396,40.212,kWh
12/07/2024,2:00 AM,1.461,40.212,kWh
12/07/2024,3:00 AM,1.329,40.212,kWh
12/07/2024,4:00 AM,1.504,40.212,kWh
12/07/2024,5:00 AM,1.323,40.212,kWh
12/07/2024,6:00 AM,1.396,40.212,kWh
12/07/2024,7:00 AM,1.541,40.212,kWh
12/07/2024,8:00 AM,1.608,40.212,kWh
12/07/2024,9:00 AM,1.558,40.212,kWh
12/07/2024,10:00 AM,3.318,40.212,kWh
12/07/2024,11:00 AM,1.901,40.212,kWh
12/07/2024,12:00 PM,1.47,40.212,kWh
12/07/2024,1:00 PM,1.434,40.212,kWh
12/07/2024,2:00 PM,1.545,40.212,kWh
12/07/2024,3:00 PM,1.332,40.212,kWh
12/07/2024,4:00 PM,3.531,40.212,kWh
12/07/2024,5:00 PM,2.589,40.212,kWh
12/07/2024,6:00 PM,2.272,40.212,kWh
12/07/2024,7:00 PM,1.395,40.212,kWh
12/07/2024,8:00 PM,1.343,40.212,kWh
12/07/2024,9:00 PM,1.227,40.212,kWh
12/07/2024,10:00 PM,1.099,40.212,kWh
12/07/2024,11:00 PM,1.185,40.212,kWh
12/08/2024,12:00 AM,1.178,31.257,kWh
12/08/2024,1:00 AM,1.04,31.257,kWh
12/08/2024,2:00 AM,1.082,31.257,kWh
12/08/2024,3:00 AM,1.144,31.257,kWh
12/08/2024,4:00 AM,1.094,31.257,kWh
12/08/2024,5:00 AM,1.096,31.257,kWh
12/08/2024,6:00 AM,1.236,31.257,kWh
12/08/2024,7:00 AM,1.285,31.257,kWh
12/08/2024,8:00 AM,1.189,31.257,kWh
12/08/2024,9:00 AM,1.256,31.257,kWh
12/08/2024,10:00 AM,1.002,31.257,kWh
12/08/2024,11:00 AM,0.976,31.257,kWh
12/08/2024,12:00 PM,1.033,31.257,kWh
12/08/2024,1:00 PM,1.631,31.257,kWh
12/08/2024,2:00 PM,1.731,31.257,kWh
12/08/2024,3:00 PM,1.015,31.257,kWh
12/08/2024,4:00 PM,0.894,31.257,kWh
12/08/2024,5:00 PM,1.566,31.257,kWh
12/08/2024,6:00 PM,1.62,31.257,kWh
12/08/2024,7:00 PM,2.939,31.257,kWh
12/08/2024,8:00 PM,1.528,31.257,kWh
12/08/2024,9:00 PM,1.278,31.257,kWh
12/08/2024,10:00 PM,1.207,31.257,kWh
12/08/2024,11:00 PM,1.237,31.257,kWh
12/09/2024,12:00 AM,1.41,30.279,kWh
12/09/2024,1:00 AM,1.128,30.279,kWh
12/09/2024,2:00 AM,1.144,30.279,kWh
12/09/2024,3:00 AM,1.16,30.279,kWh
12/09/2024,4:00 AM,1.057,30.279,kWh
12/09/2024,5:00 AM,1.047,30.279,kWh
12/09/2024,6:00 AM,1.109,30.279,kWh
12/09/2024,7:00 AM,1.075,30.279,kWh
